,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed,rain_binary
2794,0,0,0,0,27.4,30.6,24.4,6.1,34.2,0
2795,0.4,0.2,0.4,0.4,28,31.2,25.3,5,28.1,1
2796,14.4,8,12.2,14.2,26.9,29.7,23,6.5,51.8,1
2797,0,0,0,0,27.5,30.7,25.5,9,33.8,0
2798,11.2,7,7.6,8.4,26.6,30,25.3,6.1,29.5,1
2799,0,0,0,0,27.5,31.4,24.8,6.8,32.4,0
2800,0.2,0.2,0.2,0.2,27.2,32.1,25.6,6.1,29.9,1
2801,8.8,4.6,7.4,7.8,25.6,27.6,22.9,5.8,38.5,1
2802,2.4,2,2.2,2.2,26.8,30.8,24.3,5,25.6,1
2803,23.2,18.2,18.4,23.2,27.2,32.8,24.5,5.4,29.9,1
2804,11.4,5.4,8.4,11.4,27.3,33.2,24.1,6.5,42.8,1
2805,5.2,4.4,4.8,5,27.1,32,24.6,6.1,31.3,1
2806,4,3.4,3.8,4,27.9,32.1,24,8.3,33.1,1
2807,1.4,0.4,0.6,0.6,28,32.3,24,6.8,28.1,1
2808,10.4,8.6,9.6,10.2,28.3,32.1,23.7,8.3,41.4,1
2809,1.2,0.6,0.6,0.6,27.2,29.4,24.7,5.8,29.9,1
2810,1.8,1,1.2,1.6,27,30.6,24.4,7.6,35.6,1
2811,0,0,0,0,29.2,33.3,26.4,7.2,25.2,0
2812,0,0,0,0,29.6,33.5,26.9,7.2,29.9,0
2813,2.2,2.2,2.2,2.2,28.8,32.3,24,7.2,45.4,1
2814,0,0,0,0,30.3,34.1,27.6,6.1,28.8,0
2815,0,0,0,0,30.3,34.8,26.8,8.3,29.2,0
2816,0,0,0,0,29.6,33.3,27,7.6,29.2,0
2817,0,0,0,0,29.5,33.8,26.2,7.2,26.3,0
2818,0,0,0,0,29.7,33.8,26.9,7.6,31.7,0
2819,0,0,0,0,29.1,32,27,7.2,28.4,0
2820,0,0,0,0,28.3,31.2,26.7,6.1,24.5,0
2821,1.8,1.6,1.6,1.6,27.4,31.4,25.9,6.1,22.3,1
2822,6.2,5.8,6,6.2,27.7,35.3,25.3,6.8,34.9,1
2823,0.2,0.2,0.2,0.2,27.7,32.9,25.8,6.1,23,1
2824,0,0,0,0,27.6,31.3,25.6,6.1,23.8,0
2825,0,0,0,0,28.4,33.4,25.5,9,34.2,0
2826,14.6,13.4,14.2,14.4,26.4,32,24.3,6.5,39.2,1
2827,5.2,2.2,2.2,3.2,26.5,29.1,24.7,6.1,23.8,1
2828,3.4,2.4,2.8,3.2,26.1,28.2,23.2,6.1,53.3,1
2829,0,0,0,0,27.4,31.9,25.3,6.1,28.1,0
2830,0,0,0,0,27.5,30.4,25.3,6.5,31,0
2831,22.8,17.4,20.8,21.2,27.6,32.1,23.7,7.6,38.9,1
2832,7.6,1.4,2.4,4,27.1,32.8,23.9,6.5,44.6,1
2833,16.6,12.6,15.4,15.4,27.9,32.5,24.6,5.8,20.9,1
2834,54.8,18,23.4,28.8,26.2,30.1,22.7,6.1,24.1,1
2835,4,2.2,2.8,3.8,26.6,30.8,24.8,6.1,23.8,1
2836,2.8,2.4,2.6,2.8,26.7,30.3,23.9,10.4,33.5,1
2837,62.2,26.2,29.4,43.8,26.4,31.8,23.2,7.2,29.2,1
2838,56.8,40.8,47.4,53.4,26,31.4,23.4,5.8,31.7,1
2839,20.4,9,13.2,18.2,25.7,29.7,24.4,4.7,38.2,1
2840,0.8,0.6,0.6,0.6,27.2,30.3,25.1,7.6,34.9,1
2841,12,9.4,11.2,11.8,27.4,33.8,25,6.1,42.8,1
2842,55.2,27.8,38.8,48.4,25.9,27.1,23.3,6.5,29.2,1
2843,0,0,0,0,26.9,31.6,24.8,6.8,29.5,0
2844,16.2,14.4,16.2,16.2,27.8,33,25,6.5,31.3,1
2845,0.2,0.2,0.2,0.2,27.5,31.7,24.2,6.5,44.3,1
2846,58,47.8,55.6,56.4,27.6,34.5,23.2,5,40.3,1
2847,0,0,0,0,28.2,31.7,26.1,7.2,28.4,0
