,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed,rain_binary
2161,0,0,0,0,29.2,32.4,27.1,7.3,28.1,0
2162,16.2,12,14,15.8,27.4,29.1,23.5,6.9,54,1
2163,0,0,0,0,29.4,33.6,26.7,7,28.4,0
2164,0,0,0,0,29.3,32.2,27.3,7.4,28.1,0
2165,0,0,0,0,29.3,31.9,27.5,7.2,25.6,0
2166,4.4,4.4,4.4,4.4,28.5,32.3,23.8,6.2,58,1
2167,0,0,0,0,29.2,32.4,26.6,7.2,40.3,0
2168,0.6,0.4,0.4,0.6,28.9,31.2,25.5,7.1,37.4,1
2169,0.2,0.2,0.2,0.2,29.3,32.8,26.5,6.4,31.3,1
2170,0,0,0,0,29.4,33.2,27.3,7.5,26.3,0
2171,0,0,0,0,29.2,31.5,27.8,7.7,27,0
2172,27.6,20.6,27,27.4,28.2,32.1,22.8,7.9,55.1,1
2173,0,0,0,0,29.2,32.5,27.3,5.9,21.2,0
2174,0.2,0.2,0.2,0.2,28.9,32.6,27.2,6.9,36.4,1
2175,16.4,10,10.2,10.2,28.2,31.7,24.8,7.2,45.7,1
2176,6.4,4.8,6,6.2,29.3,32.8,26.7,8.5,34.2,1
2177,0,0,0,0,29.6,32.8,27.4,6.8,29.9,0
2178,0,0,0,0,29.5,33.2,27.3,7.5,36,0
2179,4,3.6,3.8,4,29,33.9,26.3,7.7,32,1
2180,0,0,0,0,29.5,33.7,26.2,10.3,32.8,0
2181,0,0,0,0,29,32.8,27.6,9.6,31,0
2182,0.4,0.2,0.2,0.2,28.5,33.5,25.3,8,43.9,1
2183,0,0,0,0,29.6,34.1,25.7,7.1,28.8,0
2184,13.4,9.8,9.8,9.8,28.3,32,24.8,6.8,52.9,1
2185,0,0,0,0,28.4,31.8,25.2,7,37.8,0
2186,40.4,25,34,34.2,28,31.3,24,8.7,37.8,1
2187,0,0,0,0,29,32.6,26.9,10.4,33.5,0
2188,2.6,2.6,2.6,2.6,28,32.8,25.8,5.3,31.3,1
2189,39.2,28.4,36,38.8,26.5,32.1,23.2,5.5,39.6,1
2190,1.6,0.6,0.8,1,26.7,30.3,23.5,7.5,26.3,1
2191,0,0,0,0,28.9,33.1,25.6,6.3,29.5,0
2192,6.2,2.4,3.6,4.4,26.3,28.5,23.9,6.4,35.6,1
2193,10.8,4.2,6.8,9.4,27.1,30.8,24.1,5.5,26.3,1
2194,0,0,0,0,28.4,32,26.6,6.2,25.6,0
2195,15,10,14.2,14.8,26.9,30.3,24.4,5.9,42.5,1
2196,7,6.8,7,7,27,30,24.2,5.1,37.8,1
2197,0.2,0.2,0.2,0.2,28,31.3,25.1,5.7,23.8,1
2198,10.4,9,10,10.2,27.3,30.8,23.2,7.3,63.4,1
2199,0,0,0,0,28.9,31.9,26.6,8.6,34.2,0
2200,12.4,7.4,7.6,7.6,27.9,31.8,26.1,6.4,43.9,1
2201,0.8,0.4,0.4,0.4,26.6,27.9,25.1,6.4,26.6,1
2202,0,0,0,0,28.4,32.7,25.9,8,37.1,0
2203,0,0,0,0,29,32.4,26.6,7.7,31.7,0
2204,0,0,0,0,29.1,32.8,27.2,9.7,33.8,0
2205,0,0,0,0,28.8,32.3,27.3,8.4,44.3,0
