,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed
197,15.4,12.4,14.4,15.2,26.6,31,22.8,7.9,37.4
198,0.8,0.4,0.6,0.6,27.5,31.7,25,10.8,36.7
199,0,0,0,0,28,31.8,25.2,14.8,46.1
200,3.4,3.2,3.2,3.2,28.1,31.8,25.6,10.4,38.2
201,15.6,6.4,11.6,14.2,26.6,32.3,23.7,6.5,34.2
202,50,29.4,47,49.8,26.9,31.5,22.8,7.2,30.6
203,16.8,11.6,13.2,14.4,26.3,32.5,23.7,9,37.8
204,28.8,20.4,25,27.2,26.4,31.9,23,10.1,39.6
205,0,0,0,0,26.3,30,23.9,10.1,28.4
206,1,0.8,0.8,1,25.7,29,24,10.1,41.8
207,3.6,0.8,1.4,1.6,25.2,27.6,23.2,11.5,40
208,0,0,0,0,27.2,30.6,25.1,9.7,34.2
209,0.6,0.6,0.6,0.6,26.8,32,24.9,12.2,46.8
210,0,0,0,0,26.5,29.6,24.5,7.9,40.7
